channel1,channel2
93.0,93.0
-18.82,-18.82
-19.19,-19.19
-17.04,-17.04
-14.16,-14.16
-12.31,-12.31
-11.72,-11.72
-13.13,-13.13
-16.03,-16.03
-19.9,-19.9
-23.74,-23.74
-26.03,-26.03
-26.55,-26.55
-25.06,-25.06
-22.83,-22.83
-20.36,-20.36
-18.67,-18.67
-18.24,-18.24
-19.06,-19.06
-21.37,-21.37
-23.66,-23.66
-24.67,-24.67
-23.41,-23.41
-21.67,-21.67
-20.44,-20.44
-20.46,-20.46
-20.74,-20.74
-20.51,-20.51
-19.77,-19.77
-18.54,-18.54
-17.07,-17.07
-15.36,-15.36
-12.91,-12.91
-10.24,-10.24
-8.58,-8.58
-8.44,-8.44
-9.8,-9.8
-11.9,-11.9
-13.47,-13.47
-14.04,-14.04
-13.34,-13.34
-11.64,-11.64
-9.71,-9.71
-8.05,-8.05
-6.65,-6.65
-5.26,-5.26
-3.88,-3.88
-3.02,-3.02
-3.16,-3.16
-4.55,-4.55
-6.18,-6.18
-7.04,-7.04
-6.39,-6.39
-4.5,-4.5
-1.13,-1.13
3.22,3.22
8.52,8.52
13.53,13.53
16.49,16.49
16.16,16.16
12.84,12.84
8.55,8.55
5.54,5.54
5.31,5.31
6.84,6.84
8.84,8.84
9.58,9.58
8.56,8.56
6.8,6.8
4.55,4.55
2.32,2.32
0.37,0.37
-0.32,-0.32
0.74,0.74
3.55,3.55
6.83,6.83
9.58,9.58
10.55,10.55
9.52,9.52
7.24,7.24
4.23,4.23
1.25,1.25
-1.21,-1.21
-2.64,-2.64
-3.06,-3.06
-2.73,-2.73
-2.15,-2.15
-1.82,-1.82
-1.25,-1.25
-0.93,-0.93
-1.11,-1.11
-2.04,-2.04
-3.21,-3.21
-4.37,-4.37
-5.28,-5.28
-5.42,-5.42
-5.06,-5.06
-4.45,-4.45
-3.1,-3.1
-2.25,-2.25
-1.92,-1.92
-2.84,-2.84
-4.5,-4.5
-5.14,-5.14
-4.28,-4.28
-2.18,-2.18
-0.59,-0.59
-0.02,-0.02
-0.2,-0.2
